# Recreational 20 m no-stop dive
# time      depth    ceil_bhl   ceil_rgbm  lambda_rgbm
  0.0       0.0      0.0        0.0        1.000
  1.0       10.0     0.0        0.0        1.000
  2.0       20.0     0.0        0.0        1.000
  3.0       20.0     0.0        0.0        1.000
  4.0       20.0     0.0        0.0        1.000
  5.0       20.0     0.0        0.0        1.000
  6.0       20.0     0.0        0.0        1.000
  7.0       20.0     0.0        0.0        1.000
  8.0       20.0     0.0        0.0        1.000
  9.0       20.0     0.0        0.0        1.000
  10.0      20.0     0.0        0.0        1.000
  11.0      20.0     0.0        0.0        1.000
  12.0      20.0     0.0        0.0        1.000
  13.0      20.0     0.0        0.0        1.000
  14.0      20.0     0.0        0.0        1.000
  15.0      20.0     0.0        0.0        1.000
  16.0      20.0     0.0        0.0        1.000
  17.0      20.0     0.0        0.0        1.000
  18.0      20.0     0.0        0.0        1.000
  19.0      20.0     0.0        0.0        1.000
  20.0      20.0     0.0        0.0        1.000
  21.0      20.0     0.0        0.0        1.000
  22.0      20.0     0.0        0.0        1.000
  23.0      20.0     0.0        0.0        1.000
  24.0      20.0     0.0        0.0        1.000
  25.0      20.0     0.0        0.0        1.000
  26.0      20.0     0.0        0.0        1.000
  27.0      20.0     0.0        0.0        1.000
  28.0      15.0     0.0        0.0        1.000
  29.0      10.0     0.0        0.0        1.000
  30.0      5.0      0.0        0.0        1.000
# BHL:  total=31.0 min, final_ceil=0.0 m
# RGBM: total=31.0 min, final_ceil=0.0 m, final_lambda=0.980
