# Deep 40 m dive with safety stops
# time      depth    ceil_bhl   ceil_rgbm  lambda_rgbm
  0.0       0.0      0.0        0.0        1.000
  1.0       10.0     0.0        0.0        1.000
  2.0       20.0     0.0        0.0        1.000
  3.0       30.0     0.0        0.0        1.000
  4.0       40.0     0.0        0.0        1.000
  5.0       40.0     0.0        0.0        1.000
  6.0       40.0     0.0        0.0        1.000
  7.0       40.0     0.0        0.0        1.000
  8.0       40.0     0.0        0.0        1.000
  9.0       40.0     0.0        0.1        1.000
  10.0      40.0     0.0        1.7        1.000
  11.0      40.0     0.4        3.0        1.000
  12.0      40.0     1.1        4.2        1.000
  13.0      40.0     1.6        5.3        1.000
  14.0      40.0     2.1        6.2        1.000
  15.0      40.0     2.6        7.0        1.000
  16.0      40.0     3.1        7.6        1.000
  17.0      40.0     3.6        8.2        1.000
  18.0      40.0     4.0        8.7        1.000
  19.0      40.0     4.5        9.2        1.000
  20.0      40.0     4.9        9.6        1.000
  21.0      40.0     5.2        9.9        1.000
  22.0      40.0     5.6        10.2       1.000
  23.0      40.0     5.9        10.5       1.000
  24.0      40.0     6.1        10.7       1.000
  25.0      35.0     6.3        10.6       1.000
  26.0      30.0     6.2        10.1       1.000
  27.0      25.0     5.9        9.1        1.000
  28.0      20.0     5.7        7.7        1.000
  29.0      15.0     5.4        6.2        1.000
  30.0      10.0     4.9        5.0        0.998
  31.0      5.0      4.3        3.6        0.974
  32.0      5.0      3.7        2.4        0.932
  33.0      5.0      3.3        1.5        0.898
  34.0      5.0      2.9        0.9        0.871
  35.0      5.0      2.5        0.2        0.849
  36.0      5.0      2.2        0.0        0.831
# BHL:  total=37.0 min, final_ceil=1.8 m
# RGBM: total=37.0 min, final_ceil=0.0 m, final_lambda=0.779
