# Technical 60 m dive with staged deco stops
# time      depth    ceil_bhl   ceil_rgbm  lambda_rgbm
  0.0       0.0      0.0        0.0        1.000
  1.0       10.0     0.0        0.0        1.000
  2.0       20.0     0.0        0.0        1.000
  3.0       30.0     0.0        0.0        1.000
  4.0       40.0     0.0        0.0        1.000
  5.0       50.0     0.0        0.0        1.000
  6.0       60.0     0.0        0.0        1.000
  7.0       60.0     0.0        0.0        1.000
  8.0       60.0     0.7        3.7        1.000
  9.0       60.0     2.5        6.8        1.000
  10.0      60.0     4.0        9.6        1.000
  11.0      60.0     5.4        12.0       1.000
  12.0      60.0     6.5        14.0       1.000
  13.0      60.0     7.5        15.8       1.000
  14.0      60.0     8.4        17.4       1.000
  15.0      60.0     9.2        18.8       1.000
  16.0      60.0     9.8        20.0       1.000
  17.0      60.0     10.4       21.0       1.000
  18.0      60.0     11.0       21.9       1.000
  19.0      60.0     11.7       22.7       1.000
  20.0      60.0     12.4       23.4       1.000
  21.0      60.0     12.9       24.0       1.000
  22.0      60.0     13.5       24.5       1.000
  23.0      60.0     14.0       25.0       1.000
  24.0      60.0     14.5       25.4       1.000
  25.0      60.0     14.9       25.7       1.000
  26.0      60.0     15.3       26.0       1.000
  27.0      55.1     15.5       26.0       1.000
  28.0      50.2     15.5       25.5       1.000
  29.0      45.4     15.3       24.6       1.000
  30.0      40.5     14.9       23.3       1.000
  31.0      35.6     14.7       21.6       1.000
  32.0      30.8     14.3       19.8       1.000
  33.0      25.9     13.9       18.5       1.000
  34.0      21.0     13.3       16.9       1.000
  35.0      21.0     12.6       15.3       1.000
  36.0      21.0     12.0       13.9       1.000
  37.0      21.0     11.5       12.6       1.000
  38.0      21.0     11.2       11.7       1.000
  39.0      21.0     10.9       11.0       1.000
  40.0      16.5     10.5       10.3       1.000
  41.0      12.0     10.1       9.4        0.996
  42.0      12.0     9.7        8.5        0.985
  43.0      12.0     9.2        7.6        0.978
  44.0      12.0     8.8        6.8        0.972
  45.0      12.0     8.4        6.0        0.969
  46.0      12.0     8.0        5.4        0.967
  47.0      12.0     7.6        4.9        0.967
  48.0      12.0     7.2        4.5        0.967
  49.0      12.0     6.9        4.0        0.969
  50.0      6.0      6.6        3.6        0.958
  51.0      6.0      6.3        3.2        0.928
  52.0      6.0      6.0        2.8        0.902
  53.0      6.0      5.7        2.4        0.879
  54.0      6.0      5.5        2.0        0.859
  55.0      6.0      5.2        1.7        0.842
  56.0      6.0      4.9        1.4        0.827
  57.0      6.0      4.7        1.2        0.815
  58.0      6.0      4.6        1.0        0.803
  59.0      6.0      4.4        0.7        0.794
  60.0      6.0      4.3        0.5        0.785
  61.0      3.0      4.1        0.3        0.765
  62.0      3.0      3.9        0.1        0.730
  63.0      3.0      3.7        0.0        0.697
  64.0      3.0      3.6        0.0        0.668
  65.0      3.0      3.4        0.0        0.641
  66.0      3.0      3.2        0.0        0.616
# BHL:  total=67.0 min, final_ceil=3.0 m
# RGBM: total=67.0 min, final_ceil=0.0 m, final_lambda=0.565
