# Normal 30 m recreational dive
# time      depth    ceil_bhl   ceil_rgbm  lambda_rgbm
  0.0       0.0      0.0        0.0        1.000
  1.0       10.0     0.0        0.0        1.000
  2.0       20.0     0.0        0.0        1.000
  3.0       30.0     0.0        0.0        1.000
  4.0       30.0     0.0        0.0        1.000
  5.0       30.0     0.0        0.0        1.000
  6.0       30.0     0.0        0.0        1.000
  7.0       30.0     0.0        0.0        1.000
  8.0       30.0     0.0        0.0        1.000
  9.0       30.0     0.0        0.0        1.000
  10.0      30.0     0.0        0.0        1.000
  11.0      30.0     0.0        0.0        1.000
  12.0      30.0     0.0        0.0        1.000
  13.0      30.0     0.0        0.0        1.000
  14.0      30.0     0.0        0.1        1.000
  15.0      30.0     0.0        0.7        1.000
  16.0      30.0     0.0        1.1        1.000
  17.0      30.0     0.0        1.5        1.000
  18.0      30.0     0.4        1.9        1.000
  19.0      30.0     0.7        2.2        1.000
  20.0      30.0     1.0        2.5        1.000
  21.0      30.0     1.2        2.7        1.000
  22.0      30.0     1.5        2.9        1.000
  23.0      30.0     1.7        3.1        1.000
  24.0      25.0     1.8        3.0        1.000
  25.0      20.0     1.6        2.4        1.000
  26.0      15.0     1.5        1.4        1.000
  27.0      10.0     1.3        0.0        1.000
  28.0      5.0      0.8        0.0        0.994
  29.0      5.0      0.4        0.0        0.979
  30.0      5.0      0.1        0.0        0.967
  31.0      5.0      0.0        0.0        0.960
# BHL:  total=32.0 min, final_ceil=0.0 m
# RGBM: total=32.0 min, final_ceil=0.0 m, final_lambda=0.929
