# Repetitive 25 m dive, 30 min surface interval
# time      depth    ceil_bhl   ceil_rgbm  lambda_rgbm
  0.0       0.0      0.0        0.0        1.000
  1.0       8.3      0.0        0.0        1.000
  2.0       16.7     0.0        0.0        1.000
  3.0       25.0     0.0        0.0        1.000
  4.0       25.0     0.0        0.0        1.000
  5.0       25.0     0.0        0.0        1.000
  6.0       25.0     0.0        0.0        1.000
  7.0       25.0     0.0        0.0        1.000
  8.0       25.0     0.0        0.0        1.000
  9.0       25.0     0.0        0.0        1.000
  10.0      25.0     0.0        0.0        1.000
  11.0      25.0     0.0        0.0        1.000
  12.0      25.0     0.0        0.0        1.000
  13.0      25.0     0.0        0.0        1.000
  14.0      25.0     0.0        0.0        1.000
  15.0      25.0     0.0        0.0        1.000
  16.0      25.0     0.0        0.0        1.000
  17.0      25.0     0.0        0.0        1.000
  18.0      25.0     0.0        0.0        1.000
  19.0      25.0     0.0        0.0        1.000
  20.0      25.0     0.0        0.0        1.000
  21.0      25.0     0.0        0.0        1.000
  22.0      25.0     0.0        0.0        1.000
  23.0      25.0     0.0        0.0        1.000
  24.0      25.0     0.0        0.0        1.000
  25.0      25.0     0.0        0.0        1.000
  26.0      25.0     0.1        0.0        1.000
  27.0      25.0     0.3        0.0        1.000
  28.0      25.0     0.5        0.0        1.000
  29.0      25.0     0.6        0.0        1.000
  30.0      25.0     0.8        0.0        1.000
  31.0      25.0     1.0        0.0        1.000
  32.0      25.0     1.1        0.1        1.000
  33.0      25.0     1.3        0.1        1.000
  34.0      20.0     1.3        0.0        1.000
  35.0      15.0     1.2        0.0        1.000
  36.0      10.0     1.0        0.0        1.000
  37.0      5.0      0.7        0.0        0.996
  38.0      0.0      0.4        0.0        0.947
  39.0      0.0      0.0        0.0        0.849
  40.0      0.0      0.0        0.0        0.764
  41.0      0.0      0.0        0.0        0.693
  42.0      0.0      0.0        0.0        0.631
  43.0      0.0      0.0        0.0        0.578
  44.0      0.0      0.0        0.0        0.531
  45.0      0.0      0.0        0.0        0.500
  46.0      0.0      0.0        0.0        0.500
  47.0      0.0      0.0        0.0        0.500
  48.0      0.0      0.0        0.0        0.500
  49.0      0.0      0.0        0.0        0.500
  50.0      0.0      0.0        0.0        0.500
  51.0      0.0      0.0        0.0        0.500
  52.0      0.0      0.0        0.0        0.500
  53.0      0.0      0.0        0.0        0.500
  54.0      0.0      0.0        0.0        0.500
  55.0      0.0      0.0        0.0        0.500
  56.0      0.0      0.0        0.0        0.500
  57.0      0.0      0.0        0.0        0.500
  58.0      0.0      0.0        0.0        0.500
  59.0      0.0      0.0        0.0        0.500
  60.0      0.0      0.0        0.0        0.500
  61.0      0.0      0.0        0.0        0.500
  62.0      0.0      0.0        0.0        0.500
  63.0      0.0      0.0        0.0        0.500
  64.0      0.0      0.0        0.0        0.500
  65.0      0.0      0.0        0.0        0.500
  66.0      0.0      0.0        0.0        0.500
  67.0      0.0      0.0        0.0        0.500
  68.0      0.0      0.0        0.0        0.500
  69.0      8.3      0.0        0.0        0.504
  70.0      16.7     0.0        0.0        0.511
  71.0      25.0     0.0        0.0        0.519
  72.0      25.0     0.0        0.0        0.528
  73.0      25.0     0.0        0.0        0.537
  74.0      25.0     0.0        0.0        0.546
  75.0      25.0     0.0        0.0        0.555
  76.0      25.0     0.0        0.0        0.564
  77.0      25.0     0.0        0.0        0.573
  78.0      25.0     0.0        0.0        0.582
  79.0      25.0     0.0        0.0        0.591
  80.0      25.0     0.0        0.0        0.600
  81.0      25.0     0.0        0.0        0.609
  82.0      25.0     0.0        0.0        0.618
  83.0      25.0     0.0        0.0        0.627
  84.0      25.0     0.0        0.0        0.636
  85.0      25.0     0.0        0.0        0.645
  86.0      25.0     0.0        0.0        0.654
  87.0      25.0     0.0        0.0        0.663
  88.0      25.0     0.0        0.2        0.672
  89.0      25.0     0.0        0.4        0.681
  90.0      25.0     0.0        0.5        0.690
  91.0      25.0     0.2        0.7        0.699
  92.0      20.0     0.3        0.5        0.708
  93.0      15.0     0.4        0.0        0.715
  94.0      10.0     0.3        0.0        0.721
  95.0      5.0      0.2        0.0        0.720
  96.0      5.0      0.1        0.0        0.711
  97.0      5.0      0.1        0.0        0.704
  98.0      5.0      0.0        0.0        0.701
# BHL:  total=99.0 min, final_ceil=0.0 m
# RGBM: total=99.0 min, final_ceil=0.0 m, final_lambda=0.673
