# Yo-yo 40->10->30 m interrupted ascent
# time      depth    ceil_bhl   ceil_rgbm  lambda_rgbm
  0.0       0.0      0.0        0.0        1.000
  1.0       10.0     0.0        0.0        1.000
  2.0       20.0     0.0        0.0        1.000
  3.0       30.0     0.0        0.0        1.000
  4.0       40.0     0.0        0.0        1.000
  5.0       40.0     0.0        0.0        1.000
  6.0       40.0     0.0        0.0        1.000
  7.0       40.0     0.0        0.0        1.000
  8.0       40.0     0.0        0.0        1.000
  9.0       40.0     0.0        0.1        1.000
  10.0      40.0     0.0        1.7        1.000
  11.0      40.0     0.4        3.0        1.000
  12.0      40.0     1.1        4.2        1.000
  13.0      40.0     1.6        5.3        1.000
  14.0      40.0     2.1        6.2        1.000
  15.0      40.0     2.6        7.0        1.000
  16.0      40.0     3.1        7.6        1.000
  17.0      40.0     3.6        8.2        1.000
  18.0      40.0     4.0        8.7        1.000
  19.0      40.0     4.5        9.2        1.000
  20.0      40.0     4.9        9.6        1.000
  21.0      40.0     5.2        9.9        1.000
  22.0      40.0     5.6        10.2       1.000
  23.0      40.0     5.9        10.5       1.000
  24.0      40.0     6.1        10.7       1.000
  25.0      40.0     6.4        10.9       1.000
  26.0      40.0     6.6        11.1       1.000
  27.0      40.0     6.8        11.2       1.000
  28.0      40.0     7.0        11.4       1.000
  29.0      40.0     7.2        11.5       1.000
  30.0      34.0     7.4        11.2       1.000
  31.0      28.0     7.4        10.4       1.000
  32.0      22.0     7.2        9.1        1.000
  33.0      16.0     6.8        7.9        1.000
  34.0      10.0     6.3        6.5        0.996
  35.0      10.0     5.7        5.2        0.984
  36.0      10.0     5.2        3.9        0.976
  37.0      10.0     4.9        3.1        0.971
  38.0      10.0     4.6        2.5        0.968
  39.0      10.0     4.3        1.8        0.967
  40.0      15.0     4.0        1.3        0.972
  41.0      20.0     3.9        0.9        0.979
  42.0      25.0     4.0        0.8        0.988
  43.0      30.0     4.1        0.9        0.997
  44.0      30.0     4.2        1.2        1.000
  45.0      30.0     4.4        1.4        1.000
  46.0      30.0     4.6        1.6        1.000
  47.0      30.0     4.7        1.9        1.000
  48.0      30.0     4.9        2.1        1.000
  49.0      30.0     5.0        2.3        1.000
  50.0      30.0     5.2        2.5        1.000
  51.0      30.0     5.3        2.6        1.000
  52.0      30.0     5.4        2.8        1.000
  53.0      30.0     5.6        3.0        1.000
  54.0      25.2     5.6        3.0        1.000
  55.0      20.4     5.6        2.9        1.000
  56.0      15.6     5.4        2.5        1.000
  57.0      10.8     5.2        2.0        1.000
  58.0      6.0      4.8        1.3        0.989
  59.0      6.0      4.4        0.9        0.963
  60.0      6.0      4.2        0.5        0.943
  61.0      6.0      3.9        0.2        0.926
  62.0      6.0      3.7        0.0        0.912
  63.0      6.0      3.5        0.0        0.901
  64.0      6.0      3.3        0.0        0.892
  65.0      6.0      3.2        0.0        0.885
  66.0      6.0      3.0        0.0        0.880
  67.0      3.0      2.9        0.0        0.864
  68.0      3.0      2.7        0.0        0.834
  69.0      3.0      2.6        0.0        0.808
  70.0      3.0      2.4        0.0        0.785
  71.0      3.0      2.3        0.0        0.764
  72.0      3.0      2.1        0.0        0.746
# BHL:  total=73.0 min, final_ceil=1.9 m
# RGBM: total=73.0 min, final_ceil=0.0 m, final_lambda=0.704
