# Bühlmann ZHL-12 tissue compartment saturation curves
# Source: Bühlmann, A.A. (1984). Decompression--Decompression Sickness.
#         Springer-Verlag, Berlin. Table 8, p. 26.
#
# Selected N2 compartments (half-times from Table 8):
#   C01(2.65) min
#   C02(7.94) min
#   C04(18.5) min
#   C06(37.0) min
#   C08(79.0) min
#   C12(238.0) min
#   C16(635.0) min
#
# P_t/P_i = 1 - exp(-ln(2) / T_half * t)
#
# time_min     C01(2.65)     C02(7.94)     C04(18.5)     C06(37.0)     C08(79.0)    C12(238.0)    C16(635.0)
         0       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000
         1       0.23015       0.08360       0.03677       0.01856       0.00874       0.00291       0.00109
         2       0.40734       0.16020       0.07220       0.03677       0.01739       0.00581       0.00218
         3       0.54374       0.23041       0.10632       0.05465       0.02598       0.00870       0.00327
         4       0.64875       0.29474       0.13918       0.07220       0.03449       0.01158       0.00436
         5       0.72959       0.35370       0.17084       0.08942       0.04292       0.01446       0.00544
         6       0.79183       0.40773       0.20133       0.10632       0.05128       0.01732       0.00653
         7       0.83974       0.45724       0.23070       0.12290       0.05957       0.02018       0.00761
         8       0.87662       0.50261       0.25899       0.13918       0.06779       0.02303       0.00869
         9       0.90502       0.54419       0.28624       0.15516       0.07593       0.02587       0.00978
        10       0.92688       0.58230       0.31249       0.17084       0.08400       0.02870       0.01086
        11       0.94371       0.61721       0.33777       0.18622       0.09200       0.03153       0.01194
        12       0.95666       0.64921       0.36212       0.20133       0.09993       0.03434       0.01301
        13       0.96664       0.67854       0.38558       0.21615       0.10780       0.03715       0.01409
        14       0.97432       0.70541       0.40817       0.23070       0.11559       0.03995       0.01517
        15       0.98023       0.73004       0.42994       0.24498       0.12332       0.04275       0.01624
        16       0.98478       0.75261       0.45090       0.25899       0.13098       0.04553       0.01731
        17       0.98828       0.77329       0.47109       0.27274       0.13857       0.04830       0.01839
        18       0.99098       0.79224       0.49054       0.28624       0.14609       0.05107       0.01946
        19       0.99306       0.80961       0.50928       0.29949       0.15355       0.05383       0.02053
        20       0.99465       0.82552       0.52733       0.31249       0.16095       0.05658       0.02159
        21       0.99588       0.84011       0.54471       0.32525       0.16828       0.05933       0.02266
        22       0.99683       0.85347       0.56145       0.33777       0.17554       0.06206       0.02373
        23       0.99756       0.86572       0.57758       0.35006       0.18274       0.06479       0.02479
        24       0.99812       0.87695       0.59311       0.36212       0.18988       0.06751       0.02586
        25       0.99855       0.88724       0.60808       0.37396       0.19696       0.07022       0.02692
        26       0.99889       0.89666       0.62249       0.38558       0.20397       0.07293       0.02798
        27       0.99914       0.90530       0.63637       0.39698       0.21093       0.07562       0.02904
        28       0.99934       0.91322       0.64974       0.40817       0.21782       0.07831       0.03010
        29       0.99949       0.92047       0.66262       0.41916       0.22465       0.08099       0.03116
        30       0.99961       0.92712       0.67503       0.42994       0.23143       0.08366       0.03222
        31       0.99970       0.93321       0.68698       0.44052       0.23814       0.08633       0.03327
        32       0.99977       0.93880       0.69849       0.45090       0.24480       0.08899       0.03433
        33       0.99982       0.94391       0.70958       0.46109       0.25139       0.09163       0.03538
        34       0.99986       0.94860       0.72026       0.47109       0.25793       0.09428       0.03643
        35       0.99989       0.95290       0.73055       0.48091       0.26442       0.09691       0.03748
        36       0.99992       0.95684       0.74046       0.49054       0.27084       0.09954       0.03853
        37       0.99994       0.96044       0.75000       0.50000       0.27721       0.10216       0.03958
        38       0.99995       0.96375       0.75919       0.50928       0.28353       0.10477       0.04063
        39       0.99996       0.96678       0.76805       0.51839       0.28978       0.10737       0.04168
        40       0.99997       0.96956       0.77658       0.52733       0.29599       0.10997       0.04272
        41       0.99998       0.97210       0.78479       0.53610       0.30214       0.11255       0.04377
        42       0.99998       0.97443       0.79271       0.54471       0.30823       0.11513       0.04481
        43       0.99999       0.97657       0.80033       0.55316       0.31428       0.11771       0.04585
        44       0.99999       0.97853       0.80767       0.56145       0.32027       0.12027       0.04689
        45       0.99999       0.98033       0.81475       0.56959       0.32621       0.12283       0.04793
        46       0.99999       0.98197       0.82156       0.57758       0.33209       0.12538       0.04897
        47       1.00000       0.98348       0.82812       0.58542       0.33793       0.12793       0.05001
        48       1.00000       0.98486       0.83444       0.59311       0.34371       0.13046       0.05105
        49       1.00000       0.98612       0.84053       0.60066       0.34944       0.13299       0.05208
        50       1.00000       0.98728       0.84639       0.60808       0.35513       0.13551       0.05312
        51       1.00000       0.98835       0.85204       0.61535       0.36076       0.13803       0.05415
        52       1.00000       0.98932       0.85748       0.62249       0.36634       0.14053       0.05518
        53       1.00000       0.99021       0.86273       0.62949       0.37188       0.14303       0.05621
        54       1.00000       0.99103       0.86777       0.63637       0.37737       0.14553       0.05724
        55       1.00000       0.99178       0.87264       0.64312       0.38281       0.14801       0.05827
        56       1.00000       0.99247       0.87732       0.64974       0.38820       0.15049       0.05930
        57       1.00000       0.99310       0.88183       0.65624       0.39354       0.15296       0.06032
        58       1.00000       0.99368       0.88618       0.66262       0.39884       0.15542       0.06135
        59       1.00000       0.99420       0.89036       0.66888       0.40409       0.15788       0.06237
        60       1.00000       0.99469       0.89439       0.67503       0.40930       0.16033       0.06340
        61       1.00000       0.99513       0.89828       0.68106       0.41446       0.16277       0.06442
        62       1.00000       0.99554       0.90202       0.68698       0.41957       0.16520       0.06544
        63       1.00000       0.99591       0.90562       0.69279       0.42464       0.16763       0.06646
        64       1.00000       0.99625       0.90909       0.69849       0.42967       0.17005       0.06748
        65       1.00000       0.99657       0.91244       0.70409       0.43465       0.17247       0.06849
